hosts+routers+channels+cost
2+2+1+{"cable_cost": 3803700, "host_cost": 252000, "router_cost": 428832}
2+3+1+{"cable_cost": 7628400, "host_cost": 504000, "router_cost": 857664}
2+4+1+{"cable_cost": 12749000, "host_cost": 840000, "router_cost": 1429440}
2+5+1+{"cable_cost": 19176000, "host_cost": 1260000, "router_cost": 2144160}
2+6+1+{"cable_cost": 26919900, "host_cost": 1764000, "router_cost": 3001824}
2+7+1+{"cable_cost": 35991200, "host_cost": 2352000, "router_cost": 4002432}
2+8+1+{"cable_cost": 46400400, "host_cost": 3024000, "router_cost": 5145984}
2+9+1+{"cable_cost": 58158000, "host_cost": 3780000, "router_cost": 6432480}
2+10+1+{"cable_cost": 71274500, "host_cost": 4620000, "router_cost": 7861920}
2+11+1+{"cable_cost": 85760400, "host_cost": 5544000, "router_cost": 9434304}
2+12+1+{"cable_cost": 101626200, "host_cost": 6552000, "router_cost": 11149632}
2+13+1+{"cable_cost": 118882400, "host_cost": 7644000, "router_cost": 13007904}
2+14+1+{"cable_cost": 137539500, "host_cost": 8820000, "router_cost": 15009120}
2+15+1+{"cable_cost": 157608000, "host_cost": 10080000, "router_cost": 17153280}
2+16+1+{"cable_cost": 179098400, "host_cost": 11424000, "router_cost": 19440384}
2+17+1+{"cable_cost": 202021200, "host_cost": 12852000, "router_cost": 21870432}
2+18+1+{"cable_cost": 226386900, "host_cost": 14364000, "router_cost": 24443424}
2+19+1+{"cable_cost": 252206000, "host_cost": 15960000, "router_cost": 27159360}
2+20+1+{"cable_cost": 279489000, "host_cost": 17640000, "router_cost": 30018240}
